,Case,Wind capex,Wind opex,PV capex,PV opex,EL capex,EL opex,Pipe capex,Pipe opex,ASU capex,ASU opex,HB capex,HB opex,Cavern capex,Cavern opex,Battery capex,Battery opex,Pipe LCOA,Cavern LCOA
12,IA CF and storage BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,313150665.31589323,10060753.084640777,28561163.50753007,42841745.26129511,102267386.55972658,153401079.8395899,18741291.673879128,938234.0188719056,104324000.0,31545136.1371876,488.74566393003306,447.5051602207675
28,IA CF and storage INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,1222478890.7472174,38237247.36981756,24691642.359453738,37037463.53918061,88149715.56035602,132224573.34053405,46815374.037923925,1795464.474507071,104324000.0,28019690.789323173,609.508837388359,444.82839838590655
0,IA Complimentarity BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,316496680.8067721,7750504.353611227,314509841.9141053,10098461.23404393,25541038.81753334,38311558.226300016,91245039.05591452,136867558.58387178,18785932.94749182,935054.9173758108,104324000.0,30286709.121854626,634.0154038187924,579.649805765516
16,IA Complimentarity INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,316496680.8067721,7750504.353611227,1382432216.5659354,43193703.414874166,21612286.57131777,32418429.85697665,76946887.56942849,115420331.35414274,51685921.062564366,1944292.4589867275,104324000.0,27460238.36482295,821.6674677569943,577.0350026204309
5,IA Max CF BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,313150665.31589323,10060753.084640777,28561163.50753007,42841745.26129511,102267386.55972658,153401079.8395899,18741291.673879128,938234.0188719056,104324000.0,31545136.1371876,488.74566393003306,447.5051602207675
21,IA Max CF INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,1222478890.7472174,38237247.36981756,24691642.359453738,37037463.53918061,88149715.56035602,132224573.34053405,46815374.037923925,1795464.474507071,104324000.0,28019690.789323173,609.508837388359,444.82839838590655
6,IA Min LCOH BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,750010573.7117442,23600292.5946496,23215029.951091148,34822544.926636726,82773942.33949031,124160913.50923549,32443034.096879397,1359773.8944771718,104324000.0,30655658.704029106,894.1873906415018,728.1664213601487
9,IA Min storage BAT,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,400414266.9833776,12759248.710426249,25719141.481123097,38578712.22168465,91894339.7605402,137841509.6408103,21567471.53431109,1018964.3297391224,104324000.0,29658561.978087906,642.7899309433934,574.0468269632001
22,IA Min LCOH INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,1414702360.2406657,44196174.92411444,19307983.088803817,28961974.633205727,68584817.69773722,102877226.54660584,52670512.368809775,1976973.7627645324,104324000.0,28019690.789323177,1037.33306031898,722.1722750734697
25,IA Min storage INF,727000000.0,943908118.0103396,480000000.0,329270273.7245369,322944725.1781002,7908406.78672637,1489312396.02344,46509086.033380456,21751211.086296868,32626816.6294453,77451632.05110464,116177448.07665697,54950004.29585476,2047638.0125029269,104324000.0,28019690.789323177,831.9302081456806,571.6753971382702
