,Case,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA,Pipe LCOA,Cavern LCOA
0,IA Complimentarity BAT,634.0154038187924,579.649805765516,538.812712220007,452.06474685763476,-15.015832584723002,-22.010713647938815,486.88317662279536,432.6099105566812,-23.206412069768703,-25.367022251417165,827.429248559324,720.1185691442606,30.50617438875526,24.233384015929094,489.1526394388289,388.8527987076492,-22.84846133192162,-32.91590977174404
1,TX Min storage BAT,503.41200136875705,480.82253285486644,420.4241385003178,384.30141196084713,-16.48507835387289,-20.074167556359857,380.46856640084246,357.47911361277465,-24.422030987270134,-25.652587142650052,563.4044708269914,517.949038989319,11.917171083549311,7.721457210837282,331.7205450034209,289.8574055280296,-34.10555487324775,-39.716343199015306
2,IA PV CF BAT,501.4941227825342,473.80440867357476,422.7870857766635,378.54530629935783,-15.694508356182846,-20.105153229978747,380.1078285818781,352.13676401302877,-24.204928569680074,-25.67887559365627,588.2712776803055,532.9660645320353,17.303723205426476,12.486514429885696,344.1394677592643,292.9133861630191,-31.377168320575617,-38.178416916162476
3,IA green steel sites BAT,725.7892508582515,631.7743482216734,648.6337518922829,498.8235905700853,-10.630565122689765,-21.044025928849386,568.5164663348412,475.4455978929503,-21.669208291171856,-24.744396598051082,1104.7564280790284,920.7340389851491,52.21449294993625,45.73780046259287,646.7839395782155,473.73427978739085,-10.885434192723526,-25.01527149355396
4,TX Max CF BAT,416.1487504152884,396.30099174840467,352.10452808119896,320.3754807153194,-15.389742795136987,-19.15854681516601,312.86111023224373,292.71461027775905,-24.819884735919686,-26.1383099279268,480.0452546949087,440.21100166043317,15.354246340006036,11.079964679953456,275.6783168371751,238.9187403247629,-33.75486131772192,-39.71280786588527
5,IA Max CF BAT,488.74566393003306,447.5051602207675,424.6101036120797,358.8048990697936,-13.122481701880586,-19.82105884705675,373.52233827941836,332.3479899706173,-23.57531414685034,-25.733149131361927,647.3520309081513,565.9409183813384,32.451718487434746,26.46578602627578,373.28009658924606,297.1937815445463,-23.624878103740397,-33.58874758049005
6,IA Min LCOH BAT,894.1873906415018,728.1664213601487,836.8319909452886,572.7449766180068,-6.414248321603563,-21.344220247320482,715.3703051210606,552.0217989777449,-19.997719425696157,-24.190159998504416,1604.1425280327896,1281.165228223929,79.39668405321135,75.94401370923269,932.8475458223239,627.9729619240021,4.323495900908067,-13.759692358375203
7,TX Min LCOH BAT,413.4674810956587,392.76639102878966,349.9749121053951,316.88876877697277,-15.356121555681451,-19.31876657090425,310.87747164113375,289.9018687550945,-24.81211078140145,-26.189746532094503,481.9418718477718,440.46829360847624,16.561009966409195,12.145108051312379,276.46869120228456,238.14499520111613,-33.134114811239165,-39.36726750541643
8,TX Wind CF BAT,413.4674810956587,392.76639102878966,349.9749121053951,316.88876877697277,-15.356121555681451,-19.31876657090425,310.87747164113375,289.9018687550945,-24.81211078140145,-26.189746532094503,481.9418718477718,440.46829360847624,16.561009966409195,12.145108051312379,276.46869120228456,238.14499520111613,-33.134114811239165,-39.36726750541643
9,IA Min storage BAT,642.7899309433934,574.0468269632001,564.3498661796418,454.73524995381007,-12.203063705218389,-20.784293441802905,498.5087899006692,430.2107134354159,-22.446079830617343,-25.0565122515702,910.2354502695839,775.1945250989396,41.60698642769231,35.04029439546649,532.8014632351084,406.13302857772453,-17.11110619714593,-29.25088869034719
10,TX CF and storage BAT,481.63372281715624,459.28365051393206,398.25651434088013,362.52115115177605,-17.311331106258272,-21.06813496493509,362.415700751408,339.69876728435514,-24.752839433339943,-26.0372610903443,543.2635032475289,498.34690780984306,12.79598531221812,8.50525753577332,318.4423170544534,277.03459111314334,-33.88288610859078,-39.68115546827207
11,IA Wind CF BAT,488.74566393003306,447.5051602207675,424.6101036120797,358.8048990697936,-13.122481701880586,-19.82105884705675,373.52233827941836,332.3479899706173,-23.57531414685034,-25.733149131361927,647.3520309081513,565.9409183813384,32.451718487434746,26.46578602627578,373.28009658924606,297.1937815445463,-23.624878103740397,-33.58874758049005
